篇名代码,篇名,作文编码,国籍,作文题目,作文分数,体裁,作文文件名,词汇丰富度与词汇扩展,词汇丰富度与词汇扩展_回归得分,基础词汇与叙事推进,基础词汇与叙事推进_回归得分,人称指涉与信息密度,人称指涉与信息密度_回归得分,句法延展与分句复杂度,句法延展与分句复杂度_回归得分,动作过程与动词链,动作过程与动词链_回归得分
J1,记对我影响最大的一个人,199505104523200201,韩国,记对我影响最大的一个人,55,记叙文,J1_55_01,0.44401674470373875,0.5684863983612048,1.6572821022426476,0.49539836669216714,1.792196033099311,0.6721857719546935,-1.0735087803598475,-0.9152551727258427,-1.0611703451940617,-0.18284915041109867
J1,记对我影响最大的一个人,199505104525200081,日本,记对我影响最大的一个人,60,记叙文,J1_60_01,0.6781405005222687,0.6817330919993801,0.5869377021976707,-0.12364944177033423,1.4316168181976492,0.8191805523056314,-0.6369434661236087,-1.0349249392691227,-0.7942628598279234,-0.729633388744509
J1,记对我影响最大的一个人,199508680519100501,马来西亚,记对我影响最大的一个人,60,记叙文,J1_60_02,0.577714178283285,0.8595813772245324,0.06550851103623172,-0.07346146332597465,2.6344481246975424,1.9122044920753765,1.0605195773591454,1.8590909065734842,-1.1334754809643377,-0.8919150645515925
J1,记对我影响最大的一个人,199505104529200134,泰国,记对我影响最大的一个人,60,记叙文,J1_60_03,1.3162426678954398,2.348764155879535,1.2163511696485443,0.0076765983415847125,2.4508567127988177,2.2152733586396773,1.814334621803376,1.3934032029937424,-0.4371673023318851,0.5393972344446701
J1,记对我影响最大的一个人,199412104523200639,韩国,记对我影响最大的一个人,60,记叙文,J1_60_04,0.03474242383369395,-0.26291966710755393,1.360947516347037,0.7518602494322207,0.8281654973616662,0.29233810846040825,-1.0061230210938068,-1.1389397707271591,-1.627056486346938,-1.2435694793198053
J1,记对我影响最大的一个人,199500533519100039,马来西亚,记对我影响最大的一个人,65,记叙文,J1_65_01,1.426194431845825,1.6949282738284908,-0.11021003835730589,-0.13300756383492146,1.2650261368896973,1.283188444924886,-0.22521364551482198,0.40036887596239285,-0.023524734283275357,0.13450693737496852
J1,记对我影响最大的一个人,199505550523200910,韩国,记对我影响最大的一个人,65,记叙文,J1_65_02,-0.2188573153266733,-0.30435694569718724,0.16012192317950508,-0.17587952878435206,0.9687920612871087,1.6584551462475394,-1.2644058745999065,-0.993343997647307,-0.023249790966854436,-0.017470359676832956
J1,记对我影响最大的一个人,199500533533100037,新加坡,记对我影响最大的一个人,65,记叙文,J1_65_03,0.8060251162761728,0.855122092244445,0.2876467982562712,-0.16645581588820468,0.9266621545016731,0.6789251744493987,-0.6656810761156646,-0.6866300883646324,0.559751340065767,0.7931587241629624
J1,记对我影响最大的一个人,199505104523100237,韩国,记对我影响最大的一个人,65,记叙文,J1_65_04,-0.8326968675790214,-0.4494230548881997,0.0679654134839277,0.07099981975726408,1.2525127145435193,0.9837549286242553,-0.05775033956241414,-0.27040882940085265,-0.03705938676213104,0.16772949020098843
J1,记对我影响最大的一个人,200203522522150004,缅甸,记对我影响最大的一个人,65,记叙文,J1_65_05,1.3675580092524164,1.933062615933183,1.4367140900155813,0.03586664969722733,0.8119537785915195,1.3109798717216652,-0.44557705105695916,-1.05993742920098,2.1378338792474025,1.6839232490597178
J1,记对我影响最大的一个人,199500533540200112,印度尼西亚,记对我影响最大的一个人,65,记叙文,J1_65_06,-0.7851490431017062,-0.49645289594564485,1.24442629505458,1.2246883230003125,1.4053942624991944,1.2414582966930683,-0.214182270085088,0.24562026073902776,1.4022958050408671,1.8715187318669795
J1,记对我影响最大的一个人,199505104540200286,印度尼西亚,记对我影响最大的一个人,65,记叙文,J1_65_07,-0.8547168237046687,-0.5038594590310845,0.8916224704747171,0.2907584469028609,2.174754519219992,2.3522599825928583,0.4411026382561574,0.3811411059025571,0.29497375103120943,0.39651321752442176
J1,记对我影响最大的一个人,199505104636200009,乌克兰,记对我影响最大的一个人,65,记叙文,J1_65_08,-0.39686756993455613,-0.5719810914214685,0.2692934933529835,0.2646922197878578,2.01758807910073,1.5445122425830071,0.40841958445760956,-0.032179246127603596,-0.1843703140899542,-0.6427325217084745
J1,记对我影响最大的一个人,199505104529200153,泰国,记对我影响最大的一个人,65,记叙文,J1_65_09,0.465921498908557,0.4756166816840947,0.10575002125258048,0.09697797406267271,2.76452528179672,2.3448601626149235,0.042495976582379115,-0.0930854153833025,-0.4141122065764727,-0.6866782936151576
